Amount,MTTR,M_r,M_rf,PE,EPS,ROE,IPS,yyyymm,Beta,M_ExRet,M_vol,M_liq,M_high,M_skew,PEL1,EPSL1,ROEL1,IPSL1,MTTRL1,BetaL1,M_volL1,M_liqL1,M_highL1,M_skewL1
179146860.26,20.9791,-0.2727,0.00165,-4.47,0.02,0.638,0.67,200201,1.8895,-0.27435,0.07741594000000002,-0.014349824695987737,0.7169811320754716,-0.36963722555012146,-13.45,0.02,0.638,0.67,4.5385,1.5502,0.007588220000000001,-0.007301714761576903,0.9087643678160919,-0.7492110618626501
63569501.1,6.994,0.0807,0.001586,-4.83,0.02,0.638,0.67,200202,1.2067,0.07911399999999999,0.01122192,0.004491406794035184,0.6687747035573123,0.18775772851924905,-4.47,0.02,0.638,0.67,20.9791,1.8895,0.07741594000000002,-0.014349824695987737,0.7169811320754716,-0.36963722555012146
252256401.83,24.0042,0.0181,0.001425,-4.92,0.02,0.638,0.67,200203,1.4118,0.016675000000000002,0.03357945,0.0009355960203044611,0.7786561264822134,-0.022944030255412293,-4.83,0.02,0.638,0.67,6.994,1.2067,0.01122192,0.004491406794035184,0.6687747035573123,0.18775772851924905
181937924.18,17.4425,0.1408,0.001425,-5.34,-0.07,-4.8406,1.22,200204,1.4886,0.139375,0.009340580000000001,0.007403054642262028,0.9786802030456854,0.7500595385466818,-4.92,0.02,0.638,0.67,24.0042,1.4118,0.03357945,0.0009355960203044611,0.7786561264822134,-0.022944030255412293
277863474.21,24.3209,-0.0249,0.001425,-5.21,-0.07,-4.8406,1.22,200205,1.4016,-0.026324999999999998,0.01090754,-0.0012806902469175766,1.0436548223350253,-0.08918183893327446,-5.34,-0.07,-4.8406,1.22,17.4425,1.4886,0.009340580000000001,0.007403054642262028,0.9786802030456854,0.7500595385466818
242619943.21,21.1871,0.084,0.001425,-5.64,-0.07,-4.8406,1.22,200206,1.2875,0.08257500000000001,0.029615850000000003,0.0043507520899640426,1.046692607003891,0.9719001549559108,-5.21,-0.07,-4.8406,1.22,24.3209,1.4016,0.01090754,-0.0012806902469175766,1.0436548223350253,-0.08918183893327446
71382806.33,6.229,-0.051,0.001425,-3.86,-0.07,-4.8406,1.22,200207,1.2947,-0.052425,0.0031632299999999995,-0.0028202399634067762,0.9535315985130112,-0.572164313216748,-5.64,-0.07,-4.8406,1.22,21.1871,1.2875,0.029615850000000003,0.0043507520899640426,1.046692607003891,0.9719001549559108
42039578.99,3.8547,-0.0403,0.001656,-3.7,-0.76,-91.3458,0.1,200208,1.2842,-0.041956,0.002722770000000001,-0.0022957570760149515,0.9172862453531598,-1.0231824880619274,-3.86,-0.07,-4.8406,1.22,6.229,1.2947,0.0031632299999999995,-0.0028202399634067762,0.9535315985130112,-0.572164313216748
39471080.22,3.9049,-0.1024,0.001852,-3.32,-0.76,-91.3458,0.1,200209,1.3047,-0.10425200000000001,0.004568769999999999,-0.005854413045688616,0.8522304832713755,-0.7997960654791527,-3.7,-0.76,-91.3458,0.1,3.8547,1.2842,0.002722770000000001,-0.0022957570760149515,0.9172862453531598,-1.0231824880619274
52063652.47,5.9131,-0.0852,0.001892,-4.67,-0.76,-89.505,0.34,200210,1.2873,-0.087092,0.007867540000000001,-0.004795143366976576,0.7826510721247563,-0.35698301011782485,-3.32,-0.76,-91.3458,0.1,3.9049,1.3047,0.004568769999999999,-0.005854413045688616,0.8522304832713755,-0.7997960654791527
66376482.08,8.9329,-0.1667,0.001892,-3.89,-0.76,-89.505,0.34,200211,1.3154,-0.168592,0.022096889999999998,-0.00925553035222372,0.8054711246200609,-0.9893764870800903,-4.67,-0.76,-89.505,0.34,5.9131,1.2873,0.007867540000000001,-0.004795143366976576,0.7826510721247563,-0.35698301011782485
204914687.69,25.7057,0.1008,0.001892,-4.29,-0.76,-89.505,0.34,200212,1.2602,0.098908,0.03296092,0.005266979344319154,0.8124318429661941,0.6696691678371648,-3.89,-0.76,-89.505,0.34,8.9329,1.3154,0.022096889999999998,-0.00925553035222372,0.8054711246200609,-0.9893764870800903
216917946.32,25.0347,0.1216,0.001892,-10.54,-0.76,-89.505,0.34,200301,1.2622,0.119708,0.017854,0.00633497326243783,1.0062266500622665,1.500769755888208,-4.29,-0.76,-89.505,0.34,25.7057,1.2602,0.03296092,0.005266979344319154,0.8124318429661941,0.6696691678371648
60944615.85,6.8191,-0.0217,0.001892,-10.31,-0.76,-89.505,0.34,200302,1.2549,-0.023592000000000002,0.00540859,-0.0012105675694099726,1.0,-0.004132825793866042,-10.54,-0.76,-89.505,0.34,25.0347,1.2622,0.017854,0.00633497326243783,1.0062266500622665,1.500769755888208
44823921.71,5.5955,-0.1173,0.001892,-9.1,-0.76,-89.505,0.34,200303,1.2491,-0.119192,0.00617631,-0.006657868018186162,0.9455445544554455,-0.6880713419474718,-10.31,-0.76,-89.505,0.34,6.8191,1.2549,0.00540859,-0.0012105675694099726,1.0,-0.004132825793866042
183764181.95,23.0176,0.0325,0.001886,-10.74,0.02,2.191,0.27,200304,1.25,0.030614000000000002,0.01626219,0.00170790478318476,0.9220297029702971,2.0724839546257035,-9.1,-0.76,-89.505,0.34,5.5955,1.2491,0.00617631,-0.006657868018186162,0.9455445544554455,-0.6880713419474718
116248213.01,13.8497,0.0615,0.001823,-11.4,0.02,2.191,0.27,200305,1.185,0.059677,0.005399060000000001,0.0033115724022898976,0.9356435643564356,1.1267296525038588,-10.74,0.02,2.191,0.27,23.0176,1.25,0.01626219,0.00170790478318476,0.9220297029702971,2.0724839546257035
79008662.27,9.2201,-0.035,0.001891,-11.01,0.02,2.191,0.27,200306,1.1555,-0.036891,0.00329212,-0.0019246559813363743,1.0143979057591623,-1.02321595326036,-11.4,0.02,2.191,0.27,13.8497,1.185,0.005399060000000001,0.0033115724022898976,0.9356435643564356,1.1267296525038588
38914793.26,4.709,0.0,0.001945,76.5,0.02,2.191,0.27,200307,1.1818,-0.001945,0.00395424,0.0,0.9664516129032258,-0.5350625428952068,-11.01,0.02,2.191,0.27,9.2201,1.1555,0.00329212,-0.0019246559813363743,1.0143979057591623,-1.02321595326036
21009915.07,2.6316,-0.0545,0.001964,72.33,0.07,7.8726,0.72,200308,1.1775,-0.056464,0.0029563099999999998,-0.0032324061409528377,0.9316129032258064,-0.23375481484469604,76.5,0.02,2.191,0.27,4.709,1.1818,0.00395424,0.0,0.9664516129032258,-0.5350625428952068
22217340.06,2.8569,-0.0148,0.002225,71.26,0.07,7.8726,0.72,200309,1.2113,-0.017025000000000002,0.00334998,-0.0008748914855230096,0.8980645161290323,-0.46252448246903943,72.33,0.07,7.8726,0.72,2.6316,1.1775,0.0029563099999999998,-0.0032324061409528377,0.9316129032258064,-0.23375481484469604
19609332.33,2.6864,-0.0615,0.002246,32.02,0.18,17.2736,1.37,200310,1.1801,-0.063746,0.00306305,-0.0036625638477192695,0.8918558077436581,0.41723177693877456,71.26,0.07,7.8726,0.72,2.8569,1.2113,0.00334998,-0.0008748914855230096,0.8980645161290323,-0.46252448246903943
